Symbol,Trade DATE,NOCP
BX,13:42,52.85
BX,9/18/19,52.85
BX,9/17/19,53.52
BX,9/16/19,53.52
BX,9/13/19,53.55
BX,9/12/19,52.24
BX,9/11/19,50.42
BX,9/10/19,49.64
BX,9/9/19,50.98
BX,9/6/19,50.37
BX,9/5/19,50.08
BX,9/4/19,49.09
BX,9/3/19,48.71
BX,8/30/19,49.76
BX,8/29/19,49.55
BX,8/28/19,49.67
BX,8/27/19,49.69
BX,8/26/19,49.24
BX,8/23/19,48.81
BX,8/22/19,49.8
BX,8/21/19,49.46
BX,8/20/19,48.84
BX,8/19/19,47.84
BX,8/16/19,47.23
BX,8/15/19,45.72
BX,8/14/19,45.85
BX,8/13/19,47.65
BX,8/12/19,46.46
BX,8/9/19,47.56
BX,8/8/19,48.23
BX,8/7/19,46.5
BX,8/6/19,45.81
BX,8/5/19,44.53
BX,8/2/19,46.62
BX,8/1/19,46.82
BX,7/31/19,47.98
BX,7/30/19,49.07
BX,7/29/19,48.65
BX,7/26/19,49.26
BX,7/25/19,49.72
BX,7/24/19,49.24
BX,7/23/19,48.6
BX,7/22/19,47.84
BX,7/19/19,45.63
BX,7/18/19,45.65
BX,7/17/19,45.28
BX,7/16/19,45.83
BX,7/15/19,45.66
BX,7/12/19,46.02
BX,7/11/19,46.07
BX,7/10/19,46.38
BX,7/9/19,46.47
BX,7/8/19,46.26
BX,7/5/19,47.21
BX,7/3/19,47.48
BX,7/2/19,47.34
BX,7/1/19,46.58
BX,6/28/19,44.42
BX,6/27/19,44.31
BX,6/26/19,44.18
BX,6/25/19,44.19
BX,6/24/19,44.4
BX,6/21/19,45.04
BX,6/20/19,44.81
BX,6/19/19,44.8
BX,6/18/19,43.39
BX,6/17/19,44.24
BX,6/14/19,44.14
BX,6/13/19,43.95
BX,6/12/19,42.97
BX,6/11/19,42.8
BX,6/10/19,42.45
BX,6/7/19,41.97
BX,6/6/19,40.98
BX,6/5/19,40.08
BX,6/4/19,39.8
BX,6/3/19,38.9
BX,5/31/19,37.85
BX,5/30/19,39.25
BX,5/29/19,39.47
BX,5/28/19,39.88
BX,5/24/19,40.65
BX,5/23/19,41.15
BX,5/22/19,41.7
BX,5/21/19,41.8
BX,5/20/19,40.61
BX,5/17/19,40.65
BX,5/16/19,40.4
BX,5/15/19,39.58
BX,5/14/19,39.39
BX,5/13/19,38.8
BX,5/10/19,39.81
BX,5/9/19,39.49
BX,5/8/19,39.09
BX,5/7/19,38.85
BX,5/6/19,39.11
BX,5/3/19,40.06
BX,5/2/19,39.57
BX,5/1/19,39.85
BX,4/30/19,39.46
BX,4/29/19,40.51
BX,4/26/19,40.19
BX,4/25/19,40.14
BX,4/24/19,39.93
BX,4/23/19,39.73
BX,4/22/19,39.02
